City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Bojnurd,IR,71.55,few clouds,37.4747,57.329,Hotel negin bojnourd
500,Fort-Shevchenko,KZ,84.25,few clouds,44.5086,50.263,Oasis hotel Bautino
502,Elizabethtown,US,78.89,broken clouds,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
503,Damietta,EG,77.47,clear sky,31.4165,31.8133,SULIMAN INN
504,Falmouth,GB,65.3,fog,50.1544,-5.0711,The Falmouth Hotel
507,Barcelona,ES,83.53,few clouds,41.3888,2.159,Axel Hotel Barcelona
509,Laguna,US,81.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
510,Coxim,BR,72.82,clear sky,-18.5067,-54.76,Rancho Da Curica
512,Saint-Michel-Des-Saints,CA,70.93,overcast clouds,46.6834,-73.9159,Motel Du Mont trinity
514,Bafq,IR,88.48,clear sky,31.6128,55.4107,Alamdar Hotel
518,Sovetskoye,RU,75.09,broken clouds,52.2861,85.4131,"Gostinitsa ""Berozka"""
519,Linhares,BR,65.26,clear sky,-19.3911,-40.0722,Hotel Conceição
520,Great Yarmouth,GB,68.25,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
521,Mutis,CO,77.58,light rain,6.2262,-77.4044,Paraiso Escondido
525,Tutoia,BR,78.49,clear sky,-2.7619,-42.2744,Tutóia Pousada Vila Beach
526,Diffa,NE,73.45,light rain,13.3154,12.6113,ProDAF/Diffa
527,Deep River,CA,68.95,broken clouds,46.1001,-77.4995,Deep River Motel
528,Alibag,IN,84.27,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
531,Ugoofaaru,MV,80.91,overcast clouds,5.6667,73.0,Ungoofaaru Inn
538,Trairi,BR,77.67,broken clouds,-3.2778,-39.2689,janelas do mar
539,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
540,Point Pedro,LK,82.0,overcast clouds,9.8167,80.2333,Gtr homes
541,Saint Anthony,US,74.71,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
542,Ambilobe,MG,66.96,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
545,Nizhniy Odes,RU,66.52,broken clouds,63.6445,54.856,Gostinitsa Uyut
546,Carauari,BR,72.81,scattered clouds,-4.8828,-66.8958,Hotel Fellip
547,Khash,IR,84.31,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
550,Antalaha,MG,68.25,light rain,-14.9003,50.2788,Hotel Vitasoa
551,Turayf,SA,73.65,clear sky,31.6725,38.6637,Turaif
552,Trapani,IT,76.28,clear sky,37.8333,12.6667,
553,Berbera,SO,89.26,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
554,Emba,KZ,73.67,overcast clouds,48.8264,58.1442,
556,Vidisha,IN,82.49,overcast clouds,23.5333,77.8167,STARiHOTELS Railway station Vidisha
557,Petersburg,US,78.62,clear sky,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
560,Tarauaca,BR,73.76,scattered clouds,-8.1614,-70.7656,Flat Temporada
561,Mecca,SA,86.05,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
562,Brigantine,US,74.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
566,Sao Gabriel Da Cachoeira,BR,72.68,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
567,Bosconia,CO,78.01,overcast clouds,9.9689,-73.8836,Hotel Jorlin
568,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
571,Sabya,SA,82.02,light rain,17.1495,42.6254,Aseel Hotel Apartment
572,Patur,IN,81.99,overcast clouds,20.45,76.9333,Hotel Rana Washim Road Patur
573,Tonj,SS,67.35,overcast clouds,7.2737,28.6822,Lakan Hotel
574,Juba,SS,67.37,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
